verb,count
have,1106
sell,1033
save,356
hold,199
plan,197
find,175
produce,94
make,56
contain,49
take,45
offer,33
represent,32
charge,29
surround,29
fill,28
score,26
buy,23
cost,22
give,21
paint,21
